Time (s),X (µT),Y (µT),Z (µT)
90.472555,-35.95089722,-13.31279755,2.44140625
90.80301063,-36.04881287,-12.68716431,2.752471924
91.13346663,-36.75894928,-12.17159271,3.797485352
91.46392263,-36.82258606,-11.67024994,3.117736816
91.79437913,-36.97045135,-10.81234741,1.894897461
92.12483512,-36.67944336,-10.15566254,1.361633301
92.45529013,-36.94367218,-9.779670715,0.667449951
92.78574542,-37.14033508,-10.5490799,4.449584961
93.11620142,-36.24295807,-13.74199677,6.785980225
93.44665642,-36.15370178,-13.86739349,7.362091064
93.77711313,-36.81777954,-12.9878006,4.719909668
94.10756913,-37.34803772,-11.52858734,3.860931396
94.43802413,-37.74477386,-11.3216095,4.040130615
94.76848025,-36.71076965,-13.04424286,1.203094482
95.09893525,-35.44594574,-17.26991272,4.655181885
95.42939025,-32.61547089,-21.90313721,6.249603271
95.75984504,-32.8073349,-21.00997162,7.704040527
96.09030104,-33.26672363,-18.95363617,10.71496582
96.42075604,-34.2017746,-17.40997314,9.337799072
96.75121088,-34.47543335,-16.56971741,8.775939941
97.08166588,-34.3746109,-16.53022766,8.994262695
97.41212188,-33.78040314,-17.89808655,5.663879395
97.74257717,-35.58904266,-10.21232605,15.79882813
98.07303217,-28.3812809,12.65454865,23.03344727
98.40348717,-24.72159386,17.3400116,22.13369751
98.73394654,-24.72436333,16.44007874,22.95959473
99.06440154,-24.76413155,15.76324463,23.49841309
99.39485654,-30.81746101,7.452018738,19.71472168
99.72530954,-30.62470055,-4.678314209,21.81936646
100.0557655,-31.41525459,-6.738128662,20.14849854
100.3862215,-31.67224693,-7.314414978,19.42102051
100.716677,-31.92671776,-9.950363159,17.45303345
101.047133,-32.22399139,-9.958572388,17.14419556
101.377589,-28.7966938,8.096031189,22.39208984
101.7080444,-21.37861824,26.02430725,12.68960571
102.0385004,-21.91148567,25.06793213,14.5352478
102.3689564,-19.916502,26.69970322,13.59390259
102.6994114,-19.37528801,27.41446304,14.17877197
103.0298674,-19.96096992,26.496418,15.69958496
103.3603244,-19.52135277,26.547966,15.15563965
103.690781,-19.666502,26.23924637,15.69836426
104.021237,-18.94940758,26.52463913,16.59515381
104.351693,-19.10954857,26.17601776,16.93029785
104.682149,-24.51305962,20.2946701,18.56771851
105.0126055,-28.78825188,-8.881141663,23.63946533
105.3430615,-24.55931282,-17.89533997,24.78048706
105.6735175,-29.40719414,-13.59142303,21.3130188
106.0039783,-25.54291344,-6.81137085,28.79568481
106.3344343,-22.05147362,0.734718323,33.35055542
106.6648903,-21.37294579,3.209388733,33.48132324
106.9953438,-21.65791893,4.2759552,33.13818359
107.3257998,-21.36366081,1.008056641,32.98431396
107.6562568,-21.83063698,-2.805603027,32.7583313
107.9867125,-14.87418938,-13.94246674,34.71105957
108.3171695,-15.83938026,-14.48151398,33.86071777
108.6476255,-15.1339283,-15.09344482,34.2986145
108.9780841,-17.46302605,-12.24092865,33.48126221
109.3085401,-24.82785988,-4.579841614,29.67501831
109.6389971,-28.02711678,-4.071220398,27.256073
109.9694524,-28.97802925,-4.723907471,25.23474121
110.2999094,-29.95625877,-4.22089386,24.87158203
110.6303664,-30.18146706,-3.157791138,24.56176758
110.9608223,-31.03196144,-3.229606628,23.76934814
111.2912793,-29.63458061,-13.47083282,23.7694397
111.6217363,-31.92206001,-4.930015564,24.56066895
111.9521964,-33.23599243,-3.251647949,22.10406494
112.2826534,-33.88819122,-3.209121704,21.665802
112.6131104,-35.55326843,-2.897537231,19.25109863
112.9435634,-36.75962067,-0.716156006,17.85577393
113.2740204,-37.13002014,2.079978943,16.30108643
113.6044774,-37.35785675,3.705467224,13.44268799
113.9349353,-38.04083252,2.976356506,11.05245972
114.2653913,-37.07617188,3.116744995,12.82553101
114.5958483,-37.11475372,3.68927002,14.39950562
114.9263052,-36.60800934,5.271881104,17.16488647
115.2567622,-36.12563324,7.42414856,17.25692749
115.5872192,-35.14555359,5.348564148,20.52584839
115.9176749,-34.71945953,3.245819092,24.03219604
116.2481319,-35.06784058,5.04750061,22.61712646
116.5785879,-35.88993073,5.734321594,21.41262817
116.9090439,-35.38672638,7.004669189,22.53790283
117.2395009,-34.60089874,8.316627502,24.54364014
117.5699569,-33.3812027,7.446784973,25.91918945
117.9004126,-34.05470276,6.566673279,26.14059448
118.2308686,-34.8586731,6.448562622,26.05456543
118.5613246,-34.18149567,9.248413086,26.16903687
